,action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode,address
49,Violations were cited in the following area(s).,QUEENS,8825,40356151,Not Critical,American,BRUNOS ON THE BOULEVARD,A,2017-08-19T00:00:00,2017-08-19T00:00:00,Cycle Inspection / Initial Inspection,7183350505,2018-01-31T06:00:53,10.0,ASTORIA BOULEVARD,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11369,"8825 ASTORIA BOULEVARD QUEENS, NY 11369"
67,Violations were cited in the following area(s).,BROOKLYN,7114,40356483,Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00,2017-06-03T00:00:00,Cycle Inspection / Initial Inspection,7184443838,2018-01-31T06:00:53,13.0,AVENUE U,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11234,"7114 AVENUE U BROOKLYN, NY 11234"
68,Violations were cited in the following area(s).,BROOKLYN,7114,40356483,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00,2017-06-03T00:00:00,Cycle Inspection / Initial Inspection,7184443838,2018-01-31T06:00:53,13.0,AVENUE U,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11234,"7114 AVENUE U BROOKLYN, NY 11234"
69,Violations were cited in the following area(s).,BROOKLYN,7114,40356483,Not Critical,Delicatessen,WILKEN'S FINE FOOD,A,2017-06-03T00:00:00,2017-06-03T00:00:00,Cycle Inspection / Initial Inspection,7184443838,2018-01-31T06:00:53,13.0,AVENUE U,09A,Canned food product observed dented and not segregated from other consumable food items.,11234,"7114 AVENUE U BROOKLYN, NY 11234"
76,Violations were cited in the following area(s).,BROOKLYN,1839,40356731,Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2017-06-22T00:00:00,2017-06-22T00:00:00,Cycle Inspection / Initial Inspection,7188560821,2018-01-31T06:00:53,10.0,NOSTRAND AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11226,"1839 NOSTRAND AVENUE BROOKLYN, NY 11226"
77,Violations were cited in the following area(s).,BROOKLYN,1839,40356731,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",TASTE THE TROPICS ICE CREAM,A,2017-06-22T00:00:00,2017-06-22T00:00:00,Cycle Inspection / Initial Inspection,7188560821,2018-01-31T06:00:53,10.0,NOSTRAND AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11226,"1839 NOSTRAND AVENUE BROOKLYN, NY 11226"
85,Violations were cited in the following area(s).,BRONX,2300,40357217,Not Critical,American,WILD ASIA,A,2017-06-14T00:00:00,2017-06-14T00:00:00,Cycle Inspection / Initial Inspection,7182207846,2018-01-31T06:00:53,2.0,SOUTHERN BOULEVARD,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10460,"2300 SOUTHERN BOULEVARD BRONX, NY 10460"
89,Violations were cited in the following area(s).,MANHATTAN,1,40359480,Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00,2017-09-20T00:00:00,Cycle Inspection / Initial Inspection,2128793900,2018-01-31T06:00:53,11.0,EAST   66 STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10065,"1 EAST   66 STREET MANHATTAN, NY 10065"
90,Violations were cited in the following area(s).,MANHATTAN,1,40359480,Not Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00,2017-09-20T00:00:00,Cycle Inspection / Initial Inspection,2128793900,2018-01-31T06:00:53,11.0,EAST   66 STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10065,"1 EAST   66 STREET MANHATTAN, NY 10065"
91,Violations were cited in the following area(s).,MANHATTAN,1,40359480,Not Critical,American,1 EAST 66TH STREET KITCHEN,A,2017-09-20T00:00:00,2017-09-20T00:00:00,Cycle Inspection / Initial Inspection,2128793900,2018-01-31T06:00:53,11.0,EAST   66 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10065,"1 EAST   66 STREET MANHATTAN, NY 10065"
94,Violations were cited in the following area(s).,BROOKLYN,1310,40359705,Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00,2017-01-23T00:00:00,Cycle Inspection / Initial Inspection,7183332202,2018-01-31T06:00:53,13.0,SURF AVENUE,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,11224,"1310 SURF AVENUE BROOKLYN, NY 11224"
95,Violations were cited in the following area(s).,BROOKLYN,1310,40359705,Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00,2017-01-23T00:00:00,Cycle Inspection / Initial Inspection,7183332202,2018-01-31T06:00:53,13.0,SURF AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11224,"1310 SURF AVENUE BROOKLYN, NY 11224"
96,Violations were cited in the following area(s).,BROOKLYN,1310,40359705,Not Critical,Hotdogs,NATHAN'S FAMOUS,A,2017-01-23T00:00:00,2017-01-23T00:00:00,Cycle Inspection / Initial Inspection,7183332202,2018-01-31T06:00:53,13.0,SURF AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11224,"1310 SURF AVENUE BROOKLYN, NY 11224"
119,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00,2017-11-27T00:00:00,Cycle Inspection / Initial Inspection,7183751500,2018-01-31T06:00:53,13.0,KINGS HIGHWAY,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
120,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00,2017-11-27T00:00:00,Cycle Inspection / Initial Inspection,7183751500,2018-01-31T06:00:53,13.0,KINGS HIGHWAY,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
121,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00,2017-11-27T00:00:00,Cycle Inspection / Initial Inspection,7183751500,2018-01-31T06:00:53,13.0,KINGS HIGHWAY,09C,Food contact surface not properly maintained.,11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
122,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-11-27T00:00:00,2017-11-27T00:00:00,Cycle Inspection / Initial Inspection,7183751500,2018-01-31T06:00:53,13.0,KINGS HIGHWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
123,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00,2017-04-20T00:00:00,Cycle Inspection / Re-inspection,7183751500,2018-01-31T06:00:53,12.0,KINGS HIGHWAY,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
124,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00,2017-04-20T00:00:00,Cycle Inspection / Re-inspection,7183751500,2018-01-31T06:00:53,12.0,KINGS HIGHWAY,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
125,Violations were cited in the following area(s).,BROOKLYN,705,40360045,Not Critical,Jewish/Kosher,SEUDA FOODS,A,2017-04-20T00:00:00,2017-04-20T00:00:00,Cycle Inspection / Re-inspection,7183751500,2018-01-31T06:00:53,12.0,KINGS HIGHWAY,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,11223,"705 KINGS HIGHWAY BROOKLYN, NY 11223"
146,Violations were cited in the following area(s).,BROOKLYN,203,40360076,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00,2017-03-16T00:00:00,Cycle Inspection / Initial Inspection,7184389501,2018-01-31T06:00:53,6.0,CHURCH AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11218,"203 CHURCH AVENUE BROOKLYN, NY 11218"
147,Violations were cited in the following area(s).,BROOKLYN,203,40360076,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00,2017-03-16T00:00:00,Cycle Inspection / Initial Inspection,7184389501,2018-01-31T06:00:53,6.0,CHURCH AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11218,"203 CHURCH AVENUE BROOKLYN, NY 11218"
148,Violations were cited in the following area(s).,BROOKLYN,203,40360076,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-03-16T00:00:00,2017-03-16T00:00:00,Cycle Inspection / Initial Inspection,7184389501,2018-01-31T06:00:53,6.0,CHURCH AVENUE,10I,"Single service item reused, improperly stored, dispensed; not used when required.",11218,"203 CHURCH AVENUE BROOKLYN, NY 11218"
152,Violations were cited in the following area(s).,QUEENS,26515,40361322,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-01-05T00:00:00,2017-01-05T00:00:00,Cycle Inspection / Initial Inspection,7183430392,2018-01-31T06:00:53,11.0,HILLSIDE AVENUE,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11004,"26515 HILLSIDE AVENUE QUEENS, NY 11004"
153,Violations were cited in the following area(s).,QUEENS,26515,40361322,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,A,2017-01-05T00:00:00,2017-01-05T00:00:00,Cycle Inspection / Initial Inspection,7183430392,2018-01-31T06:00:53,11.0,HILLSIDE AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11004,"26515 HILLSIDE AVENUE QUEENS, NY 11004"
187,Violations were cited in the following area(s).,QUEENS,3406,40361998,Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2017-07-10T00:00:00,2017-07-10T00:00:00,Cycle Inspection / Initial Inspection,7187268888,2018-01-31T06:00:53,8.0,10 STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11106,"3406 10 STREET QUEENS, NY 11106"
188,Violations were cited in the following area(s).,QUEENS,3406,40361998,Not Critical,Delicatessen,STEVE CHU'S DELI & GROCERY,A,2017-07-10T00:00:00,2017-07-10T00:00:00,Cycle Inspection / Initial Inspection,7187268888,2018-01-31T06:00:53,8.0,10 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11106,"3406 10 STREET QUEENS, NY 11106"
191,Violations were cited in the following area(s).,MANHATTAN,502,40362098,Critical,American,HARRIET'S KITCHEN,A,2017-11-09T00:00:00,2017-11-09T00:00:00,Cycle Inspection / Re-inspection,2127210045,2018-01-31T06:00:53,13.0,AMSTERDAM AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10024,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024"
192,Violations were cited in the following area(s).,MANHATTAN,502,40362098,Critical,American,HARRIET'S KITCHEN,A,2017-11-09T00:00:00,2017-11-09T00:00:00,Cycle Inspection / Re-inspection,2127210045,2018-01-31T06:00:53,13.0,AMSTERDAM AVENUE,04M,Live roaches present in facility's food and/or non-food areas.,10024,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024"
193,Violations were cited in the following area(s).,MANHATTAN,502,40362098,Not Critical,American,HARRIET'S KITCHEN,A,2017-11-09T00:00:00,2017-11-09T00:00:00,Cycle Inspection / Re-inspection,2127210045,2018-01-31T06:00:53,13.0,AMSTERDAM AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10024,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024"
194,Violations were cited in the following area(s).,MANHATTAN,502,40362098,Not Critical,American,HARRIET'S KITCHEN,A,2017-11-09T00:00:00,2017-11-09T00:00:00,Cycle Inspection / Re-inspection,2127210045,2018-01-31T06:00:53,13.0,AMSTERDAM AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10024,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024"
206,Violations were cited in the following area(s).,MANHATTAN,730,40362264,Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00,2017-06-05T00:00:00,Cycle Inspection / Initial Inspection,2129323030,2018-01-31T06:00:53,12.0,COLUMBUS AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10025,"730 COLUMBUS AVENUE MANHATTAN, NY 10025"
207,Violations were cited in the following area(s).,MANHATTAN,730,40362264,Not Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00,2017-06-05T00:00:00,Cycle Inspection / Initial Inspection,2129323030,2018-01-31T06:00:53,12.0,COLUMBUS AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10025,"730 COLUMBUS AVENUE MANHATTAN, NY 10025"
208,Violations were cited in the following area(s).,MANHATTAN,730,40362264,Not Critical,American,P & S DELI GROCERY,A,2017-06-05T00:00:00,2017-06-05T00:00:00,Cycle Inspection / Initial Inspection,2129323030,2018-01-31T06:00:53,12.0,COLUMBUS AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10025,"730 COLUMBUS AVENUE MANHATTAN, NY 10025"
229,Violations were cited in the following area(s).,MANHATTAN,18,40362274,Critical,American,ANGELIKA FILM CENTER,A,2017-06-28T00:00:00,2017-06-28T00:00:00,Cycle Inspection / Initial Inspection,2129952570,2018-01-31T06:00:53,10.0,WEST HOUSTON STREET,04A,Food Protection Certificate not held by supervisor of food operations.,10012,"18 WEST HOUSTON STREET MANHATTAN, NY 10012"
249,Violations were cited in the following area(s).,QUEENS,10305,40362432,Critical,Chinese,HO MEI RESTAURANT,A,2017-04-26T00:00:00,2017-04-26T00:00:00,Cycle Inspection / Initial Inspection,7187796903,2018-01-31T06:00:53,8.0,37 AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11368,"10305 37 AVENUE QUEENS, NY 11368"
250,Violations were cited in the following area(s).,QUEENS,10305,40362432,Not Critical,Chinese,HO MEI RESTAURANT,A,2017-04-26T00:00:00,2017-04-26T00:00:00,Cycle Inspection / Initial Inspection,7187796903,2018-01-31T06:00:53,8.0,37 AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11368,"10305 37 AVENUE QUEENS, NY 11368"
256,Violations were cited in the following area(s).,MANHATTAN,60,40362715,Critical,Sandwiches/Salads/Mixed Buffet,THE COUNTRY CAFE,A,2017-03-24T00:00:00,2017-03-24T00:00:00,Cycle Inspection / Initial Inspection,3474279132,2018-01-31T06:00:53,10.0,WALL STREET,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10005,"60 WALL STREET MANHATTAN, NY 10005"
257,Violations were cited in the following area(s).,MANHATTAN,60,40362715,Not Critical,Sandwiches/Salads/Mixed Buffet,THE COUNTRY CAFE,A,2017-03-24T00:00:00,2017-03-24T00:00:00,Cycle Inspection / Initial Inspection,3474279132,2018-01-31T06:00:53,10.0,WALL STREET,09B,Thawing procedures improper.,10005,"60 WALL STREET MANHATTAN, NY 10005"
258,Violations were cited in the following area(s).,MANHATTAN,60,40362715,Not Critical,Sandwiches/Salads/Mixed Buffet,THE COUNTRY CAFE,A,2017-03-24T00:00:00,2017-03-24T00:00:00,Cycle Inspection / Initial Inspection,3474279132,2018-01-31T06:00:53,10.0,WALL STREET,09C,Food contact surface not properly maintained.,10005,"60 WALL STREET MANHATTAN, NY 10005"
304,Violations were cited in the following area(s).,BROOKLYN,195,40362869,Critical,Caribbean,SHASHEMENE INT'L RESTAURANT,A,2017-01-23T00:00:00,2017-01-23T00:00:00,Cycle Inspection / Initial Inspection,3474300871,2018-01-31T06:00:53,10.0,EAST   56 STREET,02B,Hot food item not held at or above 140Âº F.,11203,"195 EAST   56 STREET BROOKLYN, NY 11203"
305,Violations were cited in the following area(s).,BROOKLYN,195,40362869,Not Critical,Caribbean,SHASHEMENE INT'L RESTAURANT,A,2017-01-23T00:00:00,2017-01-23T00:00:00,Cycle Inspection / Initial Inspection,3474300871,2018-01-31T06:00:53,10.0,EAST   56 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11203,"195 EAST   56 STREET BROOKLYN, NY 11203"
326,Violations were cited in the following area(s).,BROOKLYN,56,40363098,Critical,Donuts,DUNKIN' DONUTS,A,2017-01-12T00:00:00,2017-01-12T00:00:00,Cycle Inspection / Initial Inspection,7186252068,2018-01-31T06:00:53,12.0,COURT STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11201,"56 COURT STREET BROOKLYN, NY 11201"
327,Violations were cited in the following area(s).,BROOKLYN,56,40363098,Critical,Donuts,DUNKIN' DONUTS,A,2017-01-12T00:00:00,2017-01-12T00:00:00,Cycle Inspection / Initial Inspection,7186252068,2018-01-31T06:00:53,12.0,COURT STREET,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11201,"56 COURT STREET BROOKLYN, NY 11201"
328,Violations were cited in the following area(s).,BROOKLYN,56,40363098,Not Critical,Donuts,DUNKIN' DONUTS,A,2017-01-12T00:00:00,2017-01-12T00:00:00,Cycle Inspection / Initial Inspection,7186252068,2018-01-31T06:00:53,12.0,COURT STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11201,"56 COURT STREET BROOKLYN, NY 11201"
331,Violations were cited in the following area(s).,MANHATTAN,625,40363298,Critical,American,CAFE METRO,A,2017-10-10T00:00:00,2017-10-10T00:00:00,Cycle Inspection / Re-inspection,2127149342,2018-01-31T06:00:53,12.0,8 AVENUE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10018,"625 8 AVENUE MANHATTAN, NY 10018"
332,Violations were cited in the following area(s).,MANHATTAN,625,40363298,Not Critical,American,CAFE METRO,A,2017-10-10T00:00:00,2017-10-10T00:00:00,Cycle Inspection / Re-inspection,2127149342,2018-01-31T06:00:53,12.0,8 AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10018,"625 8 AVENUE MANHATTAN, NY 10018"
341,Violations were cited in the following area(s).,QUEENS,1069,40363333,Critical,Delicatessen,TONY'S DELI,A,2017-07-27T00:00:00,2017-07-27T00:00:00,Cycle Inspection / Initial Inspection,7183867925,2018-01-31T06:00:53,9.0,WYCKOFF AVENUE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11385,"1069 WYCKOFF AVENUE QUEENS, NY 11385"
342,Violations were cited in the following area(s).,QUEENS,1069,40363333,Not Critical,Delicatessen,TONY'S DELI,A,2017-07-27T00:00:00,2017-07-27T00:00:00,Cycle Inspection / Initial Inspection,7183867925,2018-01-31T06:00:53,9.0,WYCKOFF AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11385,"1069 WYCKOFF AVENUE QUEENS, NY 11385"
349,Violations were cited in the following area(s).,MANHATTAN,405,40363426,Critical,Sandwiches/Salads/Mixed Buffet,LEXLER DELI,A,2017-08-07T00:00:00,2017-08-07T00:00:00,Cycle Inspection / Initial Inspection,2126870820,2018-01-31T06:00:53,9.0,LEXINGTON AVENUE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10174,"405 LEXINGTON AVENUE MANHATTAN, NY 10174"
350,Violations were cited in the following area(s).,MANHATTAN,405,40363426,Not Critical,Sandwiches/Salads/Mixed Buffet,LEXLER DELI,A,2017-08-07T00:00:00,2017-08-07T00:00:00,Cycle Inspection / Initial Inspection,2126870820,2018-01-31T06:00:53,9.0,LEXINGTON AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10174,"405 LEXINGTON AVENUE MANHATTAN, NY 10174"
373,Violations were cited in the following area(s).,QUEENS,7905,40363565,Critical,Bagels/Pretzels,HOT BAGELS,A,2017-08-15T00:00:00,2017-08-15T00:00:00,Cycle Inspection / Re-inspection,7183268510,2018-01-31T06:00:53,13.0,METROPOLITAN AVENUE,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,11379,"7905 METROPOLITAN AVENUE QUEENS, NY 11379"
